,Link,Title,Section Name,Text
14,https://pubs.er.usgs.gov/publication/tm6A43,"Description of input and examples for PHREEQC version 3: a computer program for speciation, batch-reaction, one-dimensional transport, and inverse geochemical calculations",Abstract,"PHREEQC version 3 is a computer program written in the C and C++ programming languages that is designed to perform a wide variety of aqueous geochemical calculations. PHREEQC implements several types of aqueous models: two ion-association aqueous models (the Lawrence Livermore National Laboratory model and WATEQ4F), a Pitzer specific-ion-interaction aqueous model, and the SIT (Specific ion Interaction Theory) aqueous model. Using any of these aqueous models, PHREEQC has capabilities for (1) speciation and saturation-index calculations; (2) batch-reaction and one-dimensional (1D) transport calculations with reversible and irreversible reactions, which include aqueous, mineral, gas, solid-solution, surface-complexation, and ion-exchange equilibria, and specified mole transfers of reactants, kinetically controlled reactions, mixing of solutions, and pressure and temperature changes; and (3) inverse modeling, which finds sets of mineral and gas mole transfers that account for differences in composition between waters within specified compositional uncertainty limits. Many new modeling features were added to PHREEQC version 3 relative to version 2. The Pitzer aqueous model (pitzer.dat database, with keyword PITZER) can be used for high-salinity waters that are beyond the range of application for the Debye-Hückel theory. The Peng-Robinson equation of state has been implemented for calculating the solubility of gases at high pressure. Specific volumes of aqueous species are calculated as a function of the dielectric properties of water and the ionic strength of the solution, which allows calculation of pressure effects on chemical reactions and the density of a solution. The specific conductance and the density of a solution are calculated and printed in the output file. In addition to Runge-Kutta integration, a stiff ordinary differential equation solver (CVODE) has been included for kinetic calculations with multiple rates that occur at widely different time scales. Surface complexation can be calculated with the CD-MUSIC (Charge Distribution MUltiSIte Complexation) triple-layer model in addition to the diffuse-layer model. The composition of the electrical double layer of a surface can be estimated by using the Donnan approach, which is more robust and faster than the alternative Borkovec-Westall integration. Multicomponent diffusion, diffusion in the electrostatic double layer on a surface, and transport of colloids with simultaneous surface complexation have been added to the transport module. A series of keyword data blocks has been added for isotope calculations—ISOTOPES, CALCULATE_VALUES, ISOTOPE_ALPHAS, ISOTOPE_RATIOS, and NAMED_EXPRESSIONS. Solution isotopic data can be input in conventional units (for example, permil, percent modern carbon, or tritium units) and the numbers are converted to moles of isotope by PHREEQC. The isotopes are treated as individual components (they must be defined as individual master species) so that each isotope has its own set of aqueous species, gases, and solids. The isotope-related keywords allow calculating equilibrium fractionation of isotopes among the species and phases of a system. The calculated isotopic compositions are printed in easily readable conventional units. New keywords and options facilitate the setup of input files and the interpretation of the results. Keyword data blocks can be copied (keyword COPY) and deleted (keyword DELETE). Keyword data items can be altered by using the keyword data blocks with the _MODIFY extension and a simulation can be run with all reactants of a given index number (keyword RUN_CELLS). The definition of the complete chemical state of all reactants of PHREEQC can be saved in a file in a raw data format ( DUMP and _RAW keywords). The file can be read as part of another input file with the INCLUDE$ keyword. These keywords facilitate the use of IPhreeqc, which is a module implementing all PHREEQC version 3 capabilities; the module is designed to be used in other programs that need to implement geochemical calculations; for example, transport codes. Charting capabilities have been added to some versions of PHREEQC. Charting capabilities have been added to Windows distributions of PHREEQC version 3. (Charting on Linux requires installation of Wine.) The keyword data block USER_GRAPH allows selection of data for plotting and manipulation of chart appearance. Almost any results from geochemical simulations (for example, concentrations, activities, or saturation indices) can be retrieved by using Basic language functions and specified as data for plotting in USER_GRAPH. Results of transport simulations can be plotted against distance or time. Data can be added to a chart from tab-separated-values files. All input for PHREEQC version 3 is defined in keyword data blocks, each of which may have a series of identifiers for specific types of data. This report provides a complete description of each keyword data block and its associated identifiers. Input files for 22 examples that demonstrate most of the capabilities of PHREEQC version 3 are described and the results of the example simulations are presented and discussed."
15,https://www.sciencedirect.com/science/article/abs/pii/S1463500310001113?via%3Dihub,Development of a Coupled Ocean–Atmosphere–Wave–Sediment Transport (COAWST) Modeling System,Abstract,"Understanding the processes responsible for coastal change is important for managing our coastal resources, both natural and economic. The current scientific understanding of coastal sediment transport and geology suggests that examining coastal processes at regional scales can lead to significant insight into how the coastal zone evolves. To better identify the significant processes affecting our coastlines and how those processes create coastal change we developed a Coupled Ocean–Atmosphere–Wave–Sediment Transport (COAWST) Modeling System, which is comprised of the Model Coupling Toolkit to exchange data fields between the ocean model ROMS, the atmosphere model WRF, the wave model SWAN, and the sediment capabilities of the Community Sediment Transport Model. This formulation builds upon previous developments by coupling the atmospheric model to the ocean and wave models, providing one-way grid refinement in the ocean model, one-way grid refinement in the wave model, and coupling on refined levels. Herein we describe the modeling components and the data fields exchanged. The modeling system is used to identify model sensitivity by exchanging prognostic variable fields between different model components during an application to simulate Hurricane Isabel during September 2003. Results identify that hurricane intensity is extremely sensitive to sea surface temperature. Intensity is reduced when coupled to the ocean model although the coupling provides a more realistic simulation of the sea surface temperature. Coupling of the ocean to the atmosphere also results in decreased boundary layer stress and coupling of the waves to the atmosphere results in increased bottom stress. Wave results are sensitive to both ocean and atmospheric coupling due to wave–current interactions with the ocean and wave growth from the atmosphere wind stress. Sediment resuspension at regional scale during the hurricane is controlled by shelf width and wave propagation during hurricane approach."
16,https://pubs.usgs.gov/tm/tm6a24/,Documentation of a Conduit Flow Process (CFP) for MODFLOW-2005,Abstract,"This report documents the Conduit Flow Process (CFP) for the modular finite-difference ground-water flow model, MODFLOW-2005. The CFP has the ability to simulate turbulent ground-water flow conditions by: (1) coupling the traditional ground-water flow equation with formulations for a discrete network of cylindrical pipes (Mode 1), (2) inserting a high-conductivity flow layer that can switch between laminar and turbulent flow (Mode 2), or (3) simultaneously coupling a discrete pipe network while inserting a high-conductivity flow layer that can switch between laminar and turbulent flow (Mode 3). Conduit flow pipes (Mode 1) may represent dissolution or biological burrowing features in carbonate aquifers, voids in fractured rock, and (or) lava tubes in basaltic aquifers and can be fully or partially saturated under laminar or turbulent flow conditions. Preferential flow layers (Mode 2) may represent: (1) a porous media where turbulent flow is suspected to occur under the observed hydraulic gradients; (2) a single secondary porosity subsurface feature, such as a well-defined laterally extensive underground cave; or (3) a horizontal preferential flow layer consisting of many interconnected voids. In this second case, the input data are effective parameters, such as a very high hydraulic conductivity, representing multiple features. Data preparation is more complex for CFP Mode 1 (CFPM1) than for CFP Mode 2 (CFPM2). Specifically for CFPM1, conduit pipe locations, lengths, diameters, tortuosity, internal roughness, critical Reynolds numbers (NRe), and exchange conductances are required. CFPM1, however, solves the pipe network equations in a matrix that is independent of the porous media equation matrix, which may mitigate numerical instability associated with solution of dual flow components within the same matrix. CFPM2 requires less hydraulic information and knowledge about the specific location and hydraulic properties of conduits, and turbulent flow is approximated by modifying horizontal conductances assembled by the Block-Centered Flow (BCF), Layer-Property Flow (LPF), or Hydrogeologic-Unit Flow Packages (HUF) of MODFLOW-2005. For both conduit flow pipes (CFPM1) and preferential flow layers (CFPM2), critical Reynolds numbers are used to determine if flow is laminar or turbulent. Due to conservation of momentum, flow in a laminar state tends to remain laminar and flow in a turbulent state tends to remain turbulent. This delayed transition between laminar and turbulent flow is introduced in the CFP, which provides an additional benefit of facilitating convergence of the computer algorithm during iterations of transient simulations. Specifically, the user can specify a higher critical Reynolds number to determine when laminar flow within a pipe converts to turbulent flow, and a lower critical Reynolds number for determining when a pipe with turbulent flow switches to laminar flow. With CFPM1, the Hagen-Poiseuille equation is used for laminar flow conditions and the Darcy-Weisbach equation is applied to turbulent flow conditions. With CFPM2, turbulent flow is approximated by reducing the laminar hydraulic conductivity by a nonlinear function of the Reynolds number, once the critical head difference is exceeded. This adjustment approximates the reductions in mean velocity under turbulent ground-water flow conditions."
17,https://pubs.usgs.gov/of/2011/1238/,"Dynamically Downscaled Climate Simulations over North America: Methods, Evaluation, and Supporting Documentation for Users",Abstract,"We have completed an array of high-resolution simulations of present and future climate over Western North America (WNA) and Eastern North America (ENA) by dynamically downscaling global climate simulations using a regional climate model, RegCM3. The simulations are intended to provide long time series of internally consistent surface and atmospheric variables for use in climate-related research. In addition to providing high-resolution weather and climate data for the past, present, and future, we have developed an integrated data flow and methodology for processing, summarizing, viewing, and delivering the climate datasets to a wide range of potential users. Our simulations were run over 50- and 15-kilometer model grids in an attempt to capture more of the climatic detail associated with processes such as topographic forcing than can be captured by general circulation models (GCMs). The simulations were run using output from four GCMs. All simulations span the present (for example, 1968–1999), common periods of the future (2040–2069), and two simulations continuously cover 2010–2099. The trace gas concentrations in our simulations were the same as those of the GCMs: the IPCC 20th century time series for 1968–1999 and the A2 time series for simulations of the future. We demonstrate that RegCM3 is capable of producing present day annual and seasonal climatologies of air temperature and precipitation that are in good agreement with observations. Important features of the high-resolution climatology of temperature, precipitation, snow water equivalent (SWE), and soil moisture are consistently reproduced in all model runs over WNA and ENA. The simulations provide a potential range of future climate change for selected decades and display common patterns of the direction and magnitude of changes. As expected, there are some model to model differences that limit interpretability and give rise to uncertainties. Here, we provide background information about the GCMs and the RegCM3, a basic evaluation of the model output and examples of simulated future climate. We also provide information needed to access the web applications for visualizing and downloading the data, and give complete metadata that describe the variables in the datasets."
18,https://data.usgs.gov/modelcatalog/data/5eb4485582ce25b5135abf16,FaSTMECH - Flow and Sediment Transport with Morphological Evolution of Channels,"Summary (this is CONFUSING - links to different article, but uses this summary in USGS wesite)","FaSTMECH (Flow and Sediment Transport with Morphological Evolution of Channels) is a quasi-steady two and three-dimensional river flow and morphodynamics solver developed by Dr. Jonathan Nelson of the U.S. Geological Survey (USGS). Because FaSTMECH is developed under the quasi-steady approximation, meaning that discharge varies, but unsteady terms are neglected in the equations of motion, the solver has no Courant condition and can perform spatially detailed calculations over relatively long time scales extremely quickly. The quasi-three-dimensional version also provides explicit estimates of primary and secondary flow vertical structure, so flow solutions are provided throughout the flow for complex habitat or particle tracking problems that require three-dimensional flow without the computational expense of a fully three-dimensional model."
19,https://www.sciencebase.gov/catalog/item/5eb4485682ce25b5135abf1c,"FEQ - Full Equations Model for the Solution of the Full, Dynamic Equations of Motion for One-Dimensional Unsteady Flow in Open Channels and Through Control Structures","Summary, no article","FEQ is a computer model for simulation of one-dimensional unsteady flow in open channels and through control structures. The structure of the program is designed to follow the structure of a stream system and provide maximum generality and flexibility. FEQ can be applied to simulate a wide range of stream configurations including loops and lateral-inflow conditions. Special features such as culverts, weirs, and sluice gates are included in coordination with the Full Equations Utilities package (FEQUTL). Boundary conditions can be water-surface elevation, discharge, or the stage-discharge relation at a node. Wind-stress, rainfall, evaporation, and irrigation terms are supported. The effects of lateral inflows also can be simulated in FEQ when given local runoff intensity data."
20,"
https://doi.org/10.3133/sir20165124 ","FishVis, A regional decision support tool for identifying vulnerabilities of riverine habitat and fishes to climate change in the Great Lakes Region",Abstract,"Climate change is expected to alter the distributions and community composition of stream fishes in the Great Lakes region in the 21st century, in part as a result of altered hydrological systems (stream temperature, streamflow, and habitat). Resource managers need information and tools to understand where fish species and stream habitats are expected to change under future conditions. Fish sample collections and environmental variables from multiple sources across the United States Great Lakes Basin were integrated and used to develop empirical models to predict fish species occurrence under present-day climate conditions. Random Forests models were used to predict the probability of occurrence of 13 lotic fish species within each stream reach in the study area. Downscaled climate data from general circulation models were integrated with the fish species occurrence models to project fish species occurrence under future climate conditions. The 13 fish species represented three ecological guilds associated with water temperature (cold, cool, and warm), and the species were distributed in streams across the Great Lakes region. Vulnerability (loss of species) and opportunity (gain of species) scores were calculated for all stream reaches by evaluating changes in fish species occurrence from present-day to future climate conditions. The 13 fish species included 4 cold-water species, 5 cool-water species, and 4 warm-water species. Presently, the 4 cold-water species occupy from 15 percent (55,000 kilometers [km]) to 35 percent (130,000 km) of the total stream length (369,215 km) across the study area; the 5 cool-water species, from 9 percent (33,000 km) to 58 percent (215,000 km); and the 4 warm-water species, from 9 percent (33,000 km) to 38 percent (141,000 km).

Fish models linked to projections from 13 downscaled climate models projected that in the mid to late 21st century (2046–65 and 2081–2100, respectively) habitats suitable for all 4 cold-water species and 4 of 5 cool-water species under present-day conditions will decline as much as 86 percent and as little as 33 percent, and habitats suitable for all 4 warm-water species will increase as much as 33 percent and as little as 7 percent. This report documents the approach and data used to predict and project fish species occurrence under present-day and future climate conditions for 13 lotic fish species in the United States Great Lakes Basin. A Web-based decision support mapping application termed “FishVis” was developed to provide a means to integrate, visualize, query, and download the results of these projected climate-driven responses and help inform conservation planning efforts within the region."
21,https://www.sciencebase.gov/catalog/item/5eb4485782ce25b5135abf22,"FourPt - An unsteady, one-dimensional, open-channel flow model",Summary from website,"FOURPT is a numerical model for simulating unsteady, one-dimensional flow in networks of open channels. Options particularly useful in training or prototyping include selection of governing equations (kinematic, diffusion, or dynamic), boundary-value perturbation, and user-programmable constraint equations. The model can simulate non-trivial concepts, such as flow in complex interconnected channel networks, meandering channels with variable effective flow lengths, hydraulic structures defined by unique three-parameter relations, and density-driven flow. Channel geometry may be rectangular, trapezoidal, or irregular depending upon which of three channel-property modules is linked with the program."
22,https://www.sciencebase.gov/catalog/item/5eb4485982ce25b5135abf34,"Groundwater Management Process for the U.S. Geological Survey modular three-dimensional groundwater model, MODFLOW",Summary from website,"GWM uses a response-matrix approach to solve several types of linear, nonlinear, and mixed-binary linear groundwater management formulations. Each management formulation consists of a set of decision variables, an objective function, and a set of constraints. There are two different versions of GWM that are actively supported and available for use:GWM-2005: This is currently the standard version of GWM and is based on MODFLOW-2005. GWM-2005 was first released in 2009.GWM-VI (Version Independent): This version of GWM can be used with any version of MODFLOW that meets certain requirements on input and output. This version also allows parallel processing of the MODFLOW runs required to solve an optimization problem. This version was first released in 2013.A third version of the software, GWM-2000, has been superseded but is provided below for historical reference and for those still using MODFLOW-2000."
23,https://pubs.usgs.gov/tm/tm6d1/,GSFLOW—Coupled Ground-Water and Surface-Water Flow Model Based on the Integration of the Precipitation-Runoff Modeling System (PRMS) and the Modular Ground-Water Flow Model (MODFLOW-2005),Abstract,"The need to assess the effects of variability in climate, biota, geology, and human activities on water availability and flow requires the development of models that couple two or more components of the hydrologic cycle. An integrated hydrologic model called GSFLOW (Ground-water and Surface-water FLOW) was developed to simulate coupled ground-water and surface-water resources. The new model is based on the integration of the U.S. Geological Survey Precipitation-Runoff Modeling System (PRMS) and the U.S. Geological Survey Modular Ground-Water Flow Model (MODFLOW). Additional model components were developed, and existing components were modified, to facilitate integration of the models. Methods were developed to route flow among the PRMS Hydrologic Response Units (HRUs) and between the HRUs and the MODFLOW finite-difference cells. This report describes the organization, concepts, design, and mathematical formulation of all GSFLOW model components. An important aspect of the integrated model design is its ability to conserve water mass and to provide comprehensive water budgets for a location of interest. This report includes descriptions of how water budgets are calculated for the integrated model and for individual model components. GSFLOW provides a robust modeling system for simulating flow through the hydrologic cycle, while allowing for future enhancements to incorporate other simulation techniques."
24,https://www.sciencebase.gov/catalog/item/5eb4485982ce25b5135abf3a,HST3D - A Computer Code for Simulation of Heat and Solute Transport in Three-Dimensional Ground-Water Flow Systems,Summary from website,"The Heat- and Solute-Transport Program (HST3D) simulates ground-water flow and associated heat and solute transport in three dimensions. Over the years since the release of Versions 1.0 through 1.4, various additions, modifications, and corrections have been made to the original simulator. Major changes included in Version 2 are (1) a revised data-input file with all spatial information described by coordinate location; (2) a new iterative solver for the matrix equations based on a generalized conjugate-gradient method; (3) an evapotranspiration boundary condition; (4) a division of the simulator output into many files; (5) a new set of output files designed for use by post-processing programs for graphical visualization and for flow totalization; (6) a pre-processor for evaluating dimensioning requirements; and (7) a post-processor for totalizing boundary flow rates and cumulative amounts. The post-processing program for graphical visualization must be supplied by the user. Version 2 of the simulator has been verified using five test problems selected from the published literature. One involves heat transport, four involve solute transport, and all have variable-density fluids."
